City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
222,Severodvinsk,RU,64.5635,39.8302,39.2,65,0,11.18,clear sky,2021-03-25 19:16:41
223,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,40,3.44,light rain,2021-03-25 19:16:41
224,Sambava,MG,-14.2667,50.1667,79.57,83,100,2.75,overcast clouds,2021-03-25 19:16:41
225,Caravelas,BR,-17.7125,-39.2481,82.2,64,0,8.46,clear sky,2021-03-25 19:16:42
226,Calama,CL,-22.4667,-68.9333,77.0,13,0,23.02,clear sky,2021-03-25 19:16:42
227,Alugan,PH,12.2188,125.4808,78.35,84,100,9.01,overcast clouds,2021-03-25 19:16:42
228,Ha Giang,VN,22.8333,104.9833,68.09,96,95,0.98,overcast clouds,2021-03-25 19:16:42
229,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,61,0,8.05,clear sky,2021-03-25 19:16:43
230,Huarmey,PE,-10.0681,-78.1522,75.85,71,100,12.64,overcast clouds,2021-03-25 19:16:43
231,Zonguldak,TR,41.25,31.8333,30.51,96,100,4.59,snow,2021-03-25 19:16:43
232,Mayo,US,38.8876,-76.5119,66.0,100,90,3.44,mist,2021-03-25 19:16:43
233,Vestmannaeyjar,IS,63.4427,-20.2734,38.64,61,100,9.84,overcast clouds,2021-03-25 19:16:44
234,Gay,RU,51.4666,58.4552,19.4,86,0,6.71,clear sky,2021-03-25 19:16:44
235,Oriximina,BR,-1.7656,-55.8661,82.27,70,88,1.03,overcast clouds,2021-03-25 19:16:44
236,Naze,JP,28.3667,129.4833,62.28,71,18,10.22,few clouds,2021-03-25 19:16:45
237,Bonavista,CA,48.6499,-53.1147,53.6,50,100,5.75,overcast clouds,2021-03-25 19:16:45
238,Lockhart,US,28.6194,-81.4426,91.0,42,20,13.8,few clouds,2021-03-25 19:16:45
239,Manokwari,ID,-0.8667,134.0833,78.06,85,100,3.87,overcast clouds,2021-03-25 19:16:45
240,Yangliuqing,CN,39.1375,116.9997,53.6,76,100,2.24,light rain,2021-03-25 19:16:46
