City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Muli,MV,2021-03-23 14:10:28,2.9167,73.5667,83.5,68,41,4.79
140,Sipovo,BA,2021-03-23 14:10:28,44.2814,17.0839,23.0,72,93,18.01
141,Marzuq,YE,2021-03-23 14:10:29,14.4,46.4667,83.98,15,0,11.9
142,Severo-Kurilsk,RU,2021-03-23 14:10:29,50.6789,156.125,24.82,76,29,10.02
143,Pacific Grove,US,2021-03-23 14:08:36,36.6177,-121.9166,50.0,87,20,5.93
144,Imperia,IT,2021-03-23 14:10:29,43.9667,7.7833,57.2,51,20,8.05
145,El Bagre,CO,2021-03-23 14:10:29,7.5927,-74.8086,77.38,86,93,0.38
146,Olga,RU,2021-03-23 14:10:30,43.7444,135.2892,30.11,89,22,4.85
147,Burnie,AU,2021-03-23 14:10:30,-41.0667,145.9167,59.0,92,100,10.0
148,Bajos De Haina,DO,2021-03-23 14:10:01,18.4154,-70.0332,82.4,69,75,4.61
149,Saint George,US,2021-03-23 14:10:31,37.1041,-113.5841,46.99,57,90,11.5
150,Isangel,VU,2021-03-23 14:10:31,-19.55,169.2667,75.27,81,99,9.69
151,Masvingo,ZW,2021-03-23 14:10:31,-20.0637,30.8277,65.37,82,98,8.1
152,College,US,2021-03-23 14:10:31,64.8569,-147.8028,12.2,73,90,2.53
153,Lavrentiya,RU,2021-03-23 14:10:32,65.5833,-171.0,0.95,97,100,5.53
154,Bambous Virieux,MU,2021-03-23 14:10:32,-20.3428,57.7575,82.99,78,40,6.91
155,Cabo San Lucas,MX,2021-03-23 14:08:56,22.8909,-109.9124,57.2,62,1,9.22
156,Dongning,CN,2021-03-23 14:10:32,44.0622,131.1207,35.85,83,97,3.67
157,Abu Samrah,SY,2021-03-23 14:10:33,35.3029,37.1841,76.39,41,96,19.53
158,Pando,UY,2021-03-23 14:09:10,-34.7167,-55.95,71.6,73,75,3.44
159,Portland,US,2021-03-23 14:05:59,45.5234,-122.6762,39.0,80,75,1.79
160,Mizdah,LY,2021-03-23 14:10:33,31.4451,12.9801,58.55,28,6,26.84
161,Baoshan,CN,2021-03-23 14:10:34,46.5586,131.4244,28.17,71,47,5.5
162,Saskylakh,RU,2021-03-23 14:10:34,71.9167,114.0833,-36.11,99,36,5.19
163,Honningsvag,NO,2021-03-23 14:10:34,70.9821,25.9704,35.6,75,40,34.52
164,Zhaoyang,CN,2021-03-23 14:10:34,42.682,126.0305,40.5,71,83,6.46
165,Golden,US,2021-03-23 14:10:34,39.7555,-105.2211,33.01,80,40,3.44
166,Paluan,PH,2021-03-23 14:10:35,13.416,120.4623,79.52,80,76,13.65
167,Peniche,PT,2021-03-23 14:10:35,39.3558,-9.3811,61.0,72,0,10.0
168,Gorontalo,ID,2021-03-23 14:10:35,0.5412,123.0595,75.31,95,68,3.04
169,Tiksi,RU,2021-03-23 14:10:36,71.6872,128.8694,-22.58,100,100,5.19
170,Port Lincoln,AU,2021-03-23 14:10:36,-34.7333,135.8667,61.77,89,87,7.96
171,Khetia,IN,2021-03-23 14:10:36,21.6667,74.5833,92.05,20,60,2.42
172,Awbari,LY,2021-03-23 14:10:36,26.5921,12.7805,69.85,13,0,16.58
173,Paracuru,BR,2021-03-23 14:10:37,-3.41,-39.0306,82.0,73,39,13.0
174,Sinazongwe,ZM,2021-03-23 14:10:37,-17.2614,27.4618,80.62,63,14,6.98
175,Komsomolskiy,UZ,2021-03-23 14:10:37,40.4272,71.7189,64.4,34,100,4.61
176,Fortuna,US,2021-03-23 14:10:37,40.5982,-124.1573,39.99,87,1,9.22
177,Mbuguni,TZ,2021-03-23 14:10:24,-3.5667,36.95,93.2,29,40,11.5
178,Mayo,US,2021-03-23 14:10:38,38.8876,-76.5119,54.0,71,90,3.44
179,Bongandanga,CD,2021-03-23 14:10:38,1.5,21.05,95.9,31,60,0.43
180,Asahikawa,JP,2021-03-23 14:10:38,43.7678,142.3703,37.47,72,79,12.86
181,Esperance,AU,2021-03-23 14:10:38,-33.8667,121.9,59.0,67,90,5.75
182,Touros,BR,2021-03-23 14:10:39,-5.1989,-35.4608,86.0,58,40,11.5
183,Ust-Kuyga,RU,2021-03-23 14:10:39,70.0167,135.6,-17.88,97,100,4.72
184,Souillac,MU,2021-03-23 14:10:39,-20.5167,57.5167,84.2,74,40,9.22
185,Elbistan,TR,2021-03-23 14:10:39,38.2059,37.1983,44.11,90,100,4.68
186,Norman Wells,CA,2021-03-23 14:10:40,65.282,-126.8329,-14.8,84,20,11.5
187,Jalu,LY,2021-03-23 14:10:40,29.0331,21.5482,70.03,18,0,25.12
188,San Angelo,US,2021-03-23 14:10:40,31.4638,-100.437,46.99,76,1,8.05
189,Shenxian,CN,2021-03-23 14:10:40,36.2411,115.6672,55.36,57,6,13.91
190,Grand Gaube,MU,2021-03-23 14:10:41,-20.0064,57.6608,82.99,79,9,3.0
191,Igrim,RU,2021-03-23 14:10:41,63.1906,64.4162,26.96,87,77,8.21
192,Ahuimanu,US,2021-03-23 14:10:41,21.4447,-157.8378,68.0,83,20,3.44
193,Puerto Carreno,CO,2021-03-23 14:10:41,6.189,-67.4859,86.85,53,85,3.42
194,Hasaki,JP,2021-03-23 14:10:42,35.7333,140.8333,46.4,81,20,3.44
195,Poum,NC,2021-03-23 14:10:42,-20.2333,164.0167,78.51,74,98,14.2
196,Cap Malheureux,MU,2021-03-23 14:10:42,-19.9842,57.6142,82.99,79,11,3.0
197,Tuatapere,NZ,2021-03-23 14:10:43,-46.1333,167.6833,54.0,98,100,4.43
198,Alyangula,AU,2021-03-23 14:10:43,-13.8483,136.4192,83.26,77,100,8.46
199,Camacha,PT,2021-03-23 14:10:43,33.0833,-16.3333,64.4,48,40,11.5
200,Orlovskiy,RU,2021-03-23 14:10:43,46.8714,42.0592,40.95,81,100,13.2
201,Port Macquarie,AU,2021-03-23 14:05:51,-31.4333,152.9167,69.8,100,75,4.61
202,Artyom,AZ,2021-03-23 14:10:44,40.4723,50.333,51.8,82,0,11.5
203,Katsuura,JP,2021-03-23 14:10:44,35.1333,140.3,55.4,58,20,11.5
204,Kamenka,RU,2021-03-23 14:10:44,51.3223,42.7678,33.01,96,100,10.18
205,Kavaratti,IN,2021-03-23 14:10:44,10.5669,72.642,83.95,68,0,5.84
206,Mbandaka,CD,2021-03-23 14:10:25,0.0487,18.2603,84.87,57,49,1.07
207,Mehamn,NO,2021-03-23 14:10:45,71.0357,27.8492,35.6,75,40,32.21
208,San Patricio,US,2021-03-23 14:10:45,28.017,-97.5169,73.4,88,1,6.91
209,Tommot,RU,2021-03-23 14:10:45,58.9564,126.2925,-10.86,99,97,3.62
210,Ondjiva,AO,2021-03-23 14:10:46,-17.0667,15.7333,82.4,57,40,2.3
211,Montmagny,FR,2021-03-23 14:06:34,48.9734,2.3469,55.4,44,0,5.75
212,La Macarena,CO,2021-03-23 14:10:46,2.1837,-73.7849,77.86,78,100,2.39
213,Edd,ER,2021-03-23 14:10:46,13.9297,41.6925,94.6,27,3,22.88
214,Siocon,PH,2021-03-23 14:10:46,7.7061,122.1353,79.81,83,92,4.68
215,Port Elizabeth,ZA,2021-03-23 14:06:41,-33.918,25.5701,73.4,68,20,19.57
216,Clyde River,CA,2021-03-23 14:10:47,70.4692,-68.5914,-18.4,63,1,17.27
217,Kirakira,SB,2021-03-23 14:10:47,-10.4544,161.9205,79.14,84,20,3.8
218,Changde,CN,2021-03-23 14:10:47,29.0464,111.6783,53.92,75,1,5.1
219,Avarua,CK,2021-03-23 14:10:48,-21.2078,-159.775,80.6,89,40,10.36
220,Krasnoselkup,RU,2021-03-23 14:10:48,65.7,82.4667,16.36,94,100,9.57
221,Beaverlodge,CA,2021-03-23 14:10:48,55.2166,-119.4361,21.2,93,75,2.3
222,Malanje,AO,2021-03-23 14:10:48,-9.5402,16.341,80.6,83,75,6.91
223,Whitehorse,CA,2021-03-23 14:10:49,60.7161,-135.0538,14.0,79,90,13.8
224,Sao Joao Da Barra,BR,2021-03-23 14:10:49,-21.6403,-41.0511,86.0,58,40,6.91
225,Moron,AR,2021-03-23 14:09:56,-34.6534,-58.6198,73.99,56,20,3.44
226,Saint-Joseph,RE,2021-03-23 14:10:49,-21.3667,55.6167,84.2,74,75,4.61
227,Posse,BR,2021-03-23 14:10:50,-14.0931,-46.3694,83.28,41,87,7.05
228,Nikolskoye,RU,2021-03-23 14:10:50,59.7035,30.7861,39.2,35,75,11.18
229,Ust-Maya,RU,2021-03-23 14:10:50,60.4167,134.5333,-3.75,92,100,10.29
230,Wiarton,CA,2021-03-23 14:10:50,44.7407,-81.1332,53.6,32,75,10.36
231,Bhimunipatnam,IN,2021-03-23 14:10:51,17.8833,83.4333,84.2,48,3,5.75
232,Terme,TR,2021-03-23 14:10:51,41.2092,36.9739,46.0,87,75,8.05
233,Houma,US,2021-03-23 14:10:51,29.5958,-90.7195,71.01,88,90,13.8
